Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords
"['computational phantoms', 'monte carlo calculations', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'mcnp input data file', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['tissues', 'data', 'utility', 'low energy', 'magnetic', 'resonance imaging', 'resonance', 'phantoms', 'tomography', 'tomography magnetic', 'new', 'mcnp', 'magnetic resonance', 'lrb', 'scanning', 'low', 'individual', 'imaging', 'energy', 'vivo', 'computed tomography', 'computed', 'calculations', 'rrb', 'according', 'thorium uranium', 'detector addition', 'emitting sources', 'emitting', 'emitters plastic', 'emitters', 'distinguishing tissues', 'distinguishing', 'development computational', 'development', 'detector', 'includes', 'deposited tissues', 'deposited', 'demand increase', 'demand', 'data utility', 'data file', 'data analysis', 'vivo measurement', 'enables', 'enables automatic', 'utility tested', 'energy emitters', 'important', 'imaging scanning', 'imaging distinguishing', 'utility includes', 'images obtained', 'images', 'graphical user', 'graphical', 'geometric representation', 'geometric', 'gamma ray', 'gamma', 'file based', 'file', 'fast construction', 'fast', 'energy gamma', 'creation mcnp', 'creation', 'coupling individual', 'biological tissues', 'based scanning', 'based', 'automatic creation', 'automatic', 'application calibration', 'application', 'anatomy particularly', 'anatomy', 'analysis vivo', 'analysis', 'addition coupling', 'addition', 'actinides software', 'actinides', 'acquired precise', 'acquired', 'according signal', 'biological', 'brightness', 'coupling', 'brightness rrb', 'construction computation', 'construction', 'vivo measurements', 'voxels', 'computational phantoms', 'computational', 'computation phantoms', 'computation', 'carlo calculations', 'carlo', 'calibration vivo', 'calibration', 'calculations data', 'calculations application', 'voxels tissue', 'calculational speed', 'calculational', 'important low', 'includes segmentation', 'thorium', 'reports', 'rrb specification', 'rrb anatomy', 'tissue used', 'tissues according', 'tissues computed', 'representation lrb', 'representation', 'reports new', 'reduce memory', 'increase', 'reduce', 'ray emitting', 'ray', 'radionuclides deposited', 'radionuclides', 'properties worker', 'properties', 'precise geometric', 'tissue', 'scanning data', 'scanning information', 'segmentation', 'tested low', 'tested', 'systems reports', 'systems', 'speed utility', 'speed', 'specification source', 'specification', 'sources thorium', 'sources', 'source detector', 'source', 'software enables', 'software', 'signal lrb', 'signal', 'segmentation images', 'precise', 'plutonium actinides', 'plutonium', 'mcnp input', 'uranium plutonium', 'used', 'used reduce', 'lrb rrb', 'lrb brightness', 'user', 'worker', 'user interface', 'interface fast', 'interface', 'input data', 'input', 'information', 'individual voxels', 'individual properties', 'utility development', 'increase calculational', 'mcnp calculations', 'measurement', 'plastic biological', 'measurement systems', 'plastic', 'phantoms monte', 'phantoms mcnp', 'tissues individual', 'particularly important', 'particularly', 'obtained computed', 'obtained', 'new utility', 'new graphical', 'uranium', 'monte carlo', 'monte', 'memory demand', 'memory', 'measurements radionuclides', 'measurements', 'worker acquired']",0.0979381443298969,0.7037037037037037,0.17194570135746606,27,194
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'ccd cameras', 'parallel cameras', 'charge coupled devices']","['inspection', 'bridge', 'manipulator', 'bridge crack', 'crack', 'mobile', 'crack inspection', 'arms', 'inspections', 'evaluation', 'cameras', 'cracks', 'ccd', 'manipulator imaging', 'preliminary', 'mobile manipulator', 'preliminary evaluation', 'inspectors', 'imaging', 'vehicle', 'evaluation screening', 'devices', 'gravity operation', 'detect cracks', 'developed', 'developed automation', 'gravity', 'eyesight inspection', 'eyesight', 'eye reduces', 'development', 'development mobile', 'eye', 'devices lrb', 'evaluation currently', 'ends', 'ends arms', 'equipped', 'equipped binocular', 'experiments indicated', 'erected', 'erected scaffolding', 'experiments', 'danger accidents', 'examining structures', 'examining', 'examine underside', 'examine', 'detect', 'weights placed', 'danger', 'automation', 'binocular charge', 'binocular', 'balance weights', 'balance', 'axis manipulator', 'axis', 'automation bridge', 'automate bridge', 'bridge procedure', 'automate', 'arms revolve', 'arms respectively', 'arms balance', 'accidents human', 'accidents', 'accessible eye', 'bridge inspection', 'bridge safety', 'currently inspectors', 'consists arms', 'currently', 'cracks manipulator', 'cracks important', 'help automate', 'crack inspections', 'coupled devices', 'coupled', 'consists', 'cameras axis', 'charge coupled', 'charge', 'center gravity', 'center', 'ccd rrb', 'ccd cameras', 'cameras used', 'help', 'important', 'human', 'revolve smoothly', 'scaffolding', 'safety inspections', 'safety', 'rrb examining', 'rrb', 'risky help', 'risky', 'revolve', 'precise inspection', 'respectively maintain', 'respectively', 'reduces danger', 'reduces', 'process installed', 'process', 'procedure risky', 'scaffolding examine', 'screening', 'screening precise', 'smoothly', 'vehicle temporarily', 'vehicle parallel', 'useful bridge', 'useful', 'used detect', 'used', 'underside bridge', 'underside', 'temporarily erected', 'temporarily', 'structures accessible', 'structures', 'stand platform', 'stand', 'smoothly experiments', 'procedure', 'precise', 'human inspectors', 'inspection inspection', 'inspectors stand', 'inspectors manipulator', 'inspections eyesight', 'inspection vehicle', 'inspection process', 'inspection preliminary', 'inspection mobile', 'inspection cracks', 'platform bridge', 'inspection bridge', 'indicated useful', 'indicated', 'important preliminary', 'weights', 'imaging developed', 'imaging bridge', 'installed', 'installed ccd', 'lrb', 'lrb ccd', 'platform', 'placed ends', 'placed', 'parallel cameras', 'parallel', 'operation mechanically', 'operation', 'mobile vehicle', 'mechanically arms', 'mechanically', 'manipulator mobile', 'manipulator equipped', 'manipulator consists', 'maintain center', 'maintain', 'accessible']",0.029940119760479042,0.625,0.05714285714285715,8,167
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['solution', 'safe', 'problem', 'safe problem', 'variants defined', 'having solution', 'lrb rrb', 'lrb', 'locks studied', 'locks', 'linear equations', 'linear', 'insuring solution', 'insuring', 'initial state', 'initial', 'evenness having', 'having', 'matrices safe', 'evenness', 'equations modulo', 'equations', 'defined numbers', 'defined', 'correction initial', 'correction', 'class possible', 'class', 'cases correction', 'matrices', 'modulo', 'mn', 'mn locks', 'studied reduced', 'studied', 'state safe', 'state', 'solution safe', 'solution proposed', 'solution cases', 'safe insuring', 'rrb matrices', 'rrb', 'residue class', 'residue', 'reduced linear', 'reduced', 'proposed', 'problem mn', 'problem lrb', 'possible variants', 'possible', 'numbers evenness', 'numbers', 'modulo residue', 'variants', 'cases']",0.05263157894736842,0.75,0.09836065573770492,4,57
"['intelligent wap site management system', 'wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['wap', 'management', 'sites', 'contents', 'rrb', 'language lrb', 'lrb', 'intelligent', 'language', 'markup', 'html', 'wml', 'markup language', 'mobile phone', 'users', 'costs', 'phone', 'site management', 'lrb html', 'site', 'reduced', 'wireless', 'proper', 'html rrb', 'original contents', 'original', 'screens', 'intelligent wap', 'hypertext markup', 'mobile', 'wap site', 'wap sites', 'hypertext', 'phone screens', 'allows', 'keywords', 'maintaining wap', 'gained various', 'help', 'manager', 'help intelligent', 'management popularity', 'management original', 'html web', 'management cope', 'management allows', 'imperative', 'intelligent management', 'imperative difficult', 'maintaining', 'incurred', 'incurred rebuild', 'maintained hypertext', 'maintained', 'lrb wml', 'fit size', 'keywords removing', 'gained', 'enhancing', 'fit', 'cope problems', 'contents reduced', 'contents original', 'contents html', 'contents designed', 'content efficient', 'content', 'considerable time', 'considerable', 'consequence costs', 'consequence', 'communications wap', 'communications', 'communication cost', 'communication', 'automatically translated', 'automatically', 'associated maintaining', 'associated', 'allows manager', 'cope', 'cost', 'experiments evinced', 'cost enhancing', 'experiments', 'evinced effective', 'evinced', 'enhancing readability', 'manpower', 'efficient way', 'efficient', 'effective performance', 'effective', 'difficult wap', 'difficult', 'developed wireless', 'developed', 'designed pc', 'designed', 'define relevance', 'define', 'costs incurred', 'costs associated', 'manager define', 'wml rrb', 'manpower costs', 'translate hypertext', 'time manpower', 'time', 'size mobile', 'size', 'sites significantly', 'sites maintained', 'sites developed', 'sites automatically', 'significantly reduced', 'significantly', 'screens sites', 'screens reducing', 'rrb translate', 'rrb pages', 'rrb considerable', 'results gained', 'results', 'translate', 'translated', 'meaningless', 'translated proper', 'wml ones', 'wireless markup', 'wireless communications', 'web sites', 'web', 'way consequence', 'way', 'wap users', 'wap management', 'wap intelligent', 'wap content', 'various experiments', 'various', 'users read', 'users mobile', 'unimportant meaningless', 'unimportant', 'reorganized fit', 'reorganized', 'removing unimportant', 'removing', 'popularity regarding', 'popularity', 'performance wap', 'performance', 'pc users', 'pc', 'paper propose', 'paper', 'pages proper', 'pages', 'ones imperative', 'ones', 'wml paper', 'numerical', 'numerals keywords', 'numerals', 'meaningless contents', 'problems', 'problems help', 'proper wap', 'reduced management', 'relevance numerals', 'relevance', 'regarding wireless', 'regarding', 'reducing communication', 'reducing', 'reduced reorganized', 'rebuild wml', 'proper wml', 'rebuild', 'readability numerical', 'readability', 'read contents', 'read', 'propose intelligent', 'propose', 'numerical results']",0.016042780748663103,0.5,0.03108808290155441,6,187
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'airy stress function', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['cantilever', 'general solution', 'solution', 'piezoelectric', 'general', 'piezoelectric cantilever', 'density', 'method', 'functionally', 'functionally gradient', 'gradient', 'gradient piezoelectric', 'density functionally', 'used', 'solution density', 'stress', 'applications', 'actuator', 'finally', 'different loading', 'function method', 'density distribution', 'function', 'determine', 'determine density', 'different', 'form polynomials', 'engineering studied', 'distribution', 'form', 'distribution profile', 'engineering', 'force piezoelectric', 'force', 'finally addressed', 'deduced solutions', 'deflection blocking', 'blocking', 'actuator finally', 'addressed', 'addressed method', 'airy', 'airy stress', 'applications general', 'applications used', 'based', 'based general', 'beam', 'beam based', 'blocking force', 'deflection', 'bodies', 'bodies study', 'cantilever actuator', 'cantilever applications', 'cantilever different', 'cantilever order', 'cantilever used', 'conditions', 'conditions furthermore', 'deduced', 'functions form', 'functions', 'used plane', 'furthermore', 'stress function', 'profile given', 'rrb', 'rrb obtained', 'solution beam', 'solution deduced', 'solution engineering', 'solutions', 'solutions cantilever', 'strain', 'strain theory', 'stress induction', 'polynomials general', 'studied', 'studied tip', 'study', 'study piezoelectric', 'theory', 'theory transversely', 'tip', 'tip deflection', 'transversely', 'transversely isotropic', 'profile', 'polynomials', 'furthermore applications', 'lrb', 'given', 'used inverse', 'induction', 'induction functions', 'inverse', 'inverse method', 'isotropic', 'isotropic bodies', 'loading', 'loading conditions', 'lrb airy', 'plane strain', 'material', 'method determine', 'method lrb', 'method rrb', 'obtained', 'obtained stress', 'order', 'order general', 'piezoelectric material', 'plane', 'given piezoelectric']",0.034782608695652174,0.4444444444444444,0.06451612903225806,9,115
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['decomposition', 'approach', 'functions', 'boolean', 'method', 'new', 'new approach', 'decomposition boolean', 'boolean functions', 'approach decomposition', '1999', 'based', 'based method', 'functions method', 'functions formulated', 'functions depend', '1999 rrb', 'formulated approach', 'formulated', 'forms considered', '29', 'forms', 'examples', 'disjunctive decomposition', 'disjunctive', '29 42', '42', 'depend variables', 'depend', 'decomposition pt', 'decomposition partial', 'decomposition clone', '42 lrb', 'ii repeated', 'considered approach', 'considered', 'concept decomposition', 'concept', 'clone theorem', 'clone', 'approach based', 'approach proposed', 'ii', 'various forms', 'illustrated', 'simple disjunctive', 'repeated', 'repeated decomposition', 'represented', 'represented various', 'rrb', 'rrb new', 'simple', 'sist', 'pt', 'sist mash', 'theorem', 'theorem simple', 'upr', 'upr sist', 'variables', 'variables represented', 'pt upr', 'proposed illustrated', 'various', 'method partitions', 'introduced', 'introduced concept', 'lrb', 'lrb 1999', 'mash', 'mash 29', 'method partitioning', 'minterms', 'proposed', 'minterms introduced', 'partial', 'partial functions', 'partitioning', 'partitioning minterms', 'partitions', 'partitions ii', 'illustrated examples']",0.04819277108433735,1.0,0.09195402298850576,4,83
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['use', 'user', 'systems', 'acceptance', 'ease use', 'ease', 'building', 'perceived', 'perceived ease', 'perceptions', 'research', 'management systems', 'compatibility', 'management', 'user acceptance', 'acceptance building', 'user perceptions', 'building management', 'lrb bms', 'influence', 'generally important', 'importance', 'importance perceived', 'important', 'important balance', 'indicated', 'indicated differing', 'balance', 'lrb', 'making use', 'generally', 'acceptance employed', 'making', 'influence user', 'levels', 'levels importance', 'building performance', 'factors', 'factors perceived', 'facilities established', 'compatibility demonstrated', 'compatibility moderated', 'crucial', 'crucial optimising', 'demonstrated', 'bms rrb', 'demonstrated previous', 'differing', 'differing levels', 'employed', 'employed research', 'bms', 'established models', 'examines', 'balance compatibility', 'examines user', 'facilities', 'established', 'widely reported', 'modelling', 'modelling user', 'shown', 'shown generally', 'study', 'study examines', 'survey', 'survey systems', 'systems crucial', 'systems facilities', 'systems lrb', 'systems study', 'technology', 'technology acceptance', 'use compatibility', 'use relative', 'use shown', 'use systems', 'users', 'users making', 'using', 'using questionnaire', 'voluntariness', 'rrb using', 'rrb', 'research positive', 'performance widely', 'models', 'models technology', 'widely', 'moderated user', 'optimising', 'optimising building', 'perceptions ease', 'perceptions voluntariness', 'performance', 'positive', 'research indicated', 'positive influence', 'previous', 'previous research', 'questionnaire', 'questionnaire survey', 'relative', 'relative factors', 'reported', 'reported users', 'moderated']",0.037383177570093455,0.6666666666666666,0.07079646017699114,6,107
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['control', 'elliptic', 'computational', 'optimal', 'optimal control', 'conditions', 'schemes', 'described', 'delta coincides', 'delta', 'considered distributed', 'described elliptic', 'controls', 'control set', 'control problems', 'discretization', 'discretization schemes', 'control elliptic', 'distributed', 'constructed case', 'constructed', 'conjugation', 'considered', 'conjugation conditions', 'element', 'conjugate conditions', 'conjugate', 'conditions quadratic', 'conditions new', 'computational finite', 'computational discretization', 'coincides hilbert', 'coincides', 'case feasible', 'case', 'accurate computational', 'distributed systems', 'systems described', 'element schemes', 'minimized function', 'sub delta', 'sub', 'space controls', 'space', 'set sub', 'set', 'schemes optimal', 'schemes constructed', 'quadratic minimized', 'quadratic', 'problems considered', 'problems', 'new optimal', 'new', 'minimized', 'systems', 'hilbert space', 'hilbert', 'highly accurate', 'highly', 'function highly', 'function', 'finite element', 'finite', 'feasible control', 'feasible', 'equations conjugate', 'equations', 'elliptic equations', 'elliptic conjugation', 'accurate']",0.04225352112676056,0.5,0.07792207792207793,6,71
"['systemological analysis', 'formal system representation', 'axiomatics', 'case tools']","['object', 'method', 'oriented', 'object oriented', 'systems', 'analysis', 'systemological', 'used', 'design', 'development', 'formal', 'design ii', 'flow', 'flow type', 'design complex', 'coordinated procedure', 'development object', 'formal representation', 'considered', 'formalized', 'formalized nfo', 'function', 'function object', 'functional', 'functional flow', 'hierarchy', 'hierarchy proposed', 'ii', 'coordinated', 'complex', 'complex systems', 'khgpu', '15 18', '18', '18 lrb', '2000', '2000 rrb', '81', '81 15', 'algorithm', 'algorithm case', 'analysis algorithm', 'analysis coordinated', 'axiomatics', 'axiomatics calculus', 'based', 'based node', 'calculus', 'calculus systems', 'case', 'case tools', 'class', 'class hierarchy', 'ii pt', 'vestn khgpu', 'khgpu 81', 'lrb', 'pt vestn', 'representation', 'representation axiomatics', 'results', 'results development', 'rrb', 'rrb paper', 'support', 'support considered', 'systemological analysis', 'systemological method', 'systems formal', 'systems functional', 'tools', 'tools used', 'type', 'type objects', 'ufo', 'ufo analysis', 'used design', 'used support', 'pt', 'proposed formalized', 'proposed', 'node function', 'lrb 2000', 'vestn', 'method systemological', 'method used', 'new', 'new method', 'nfo', 'nfo ufo', 'node', 'object class', 'procedure object', 'objects', 'objects based', 'oriented design', 'oriented systemological', 'paper', 'paper presents', 'presents', 'presents results', 'procedure', '15']",0.02912621359223301,0.75,0.056074766355140186,4,103
"['electronic tendering', 'electronic government procurement system', 'taiwan government procurement law', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['procurement', 'government', 'government procurement', 'electronic', 'online', 'rrb', 'development', 'electronic government', 'taiwan', 'lrb', 'information infrastructures', 'forward tender', 'employ', 'employ electronic', 'existing', 'existing information', 'explored', 'explored include', 'features', 'features explored', 'forward', 'internet', 'internal procurement', 'internal', 'information', 'framework', 'framework electronic', 'functions', 'integrated easily', 'functions reengineers', 'integrated', 'government bodies', 'include', 'infrastructures', 'include posting', 'electronic tendering', 'vendors features', 'electronic devices', 'investigation', 'accordingly taiwan', 'accountable', 'accountable electronic', 'authorization', 'authorization contract', 'benefits', 'benefits government', 'bid', 'bid request', 'bidding', 'bidding online', 'bids', 'bids internet', 'bodies', 'bodies vendors', 'certificate', 'certificate authorization', 'contract', 'contract development', 'demonstrates', 'demonstrates electronic', 'development online', 'development tools', 'devices', 'devices forward', 'easily', 'easily existing', 'efficient', 'efficient transparent', 'internet vendor', 'law lrb', 'investigation demonstrates', 'law', 'render government', 'request', 'request proposal', 'required', 'required accordingly', 'rfp', 'rfp rrb', 'rrb development', 'rrb states', 'states', 'states suppliers', 'suppliers', 'suppliers employ', 'taiwan government', 'taiwan render', 'tender', 'tender investigation', 'tendering', 'tendering government', 'tgpl', 'tgpl rrb', 'tools', 'tools bid', 'transparent', 'transparent nondiscriminating', 'turn', 'turn benefits', 'vendor', 'vendor registration', 'render', 'registration certificate', 'registration', 'posting', 'vendors', 'learned', 'learned taiwan', 'lesson', 'lesson learned', 'lrb rfp', 'lrb tgpl', 'nondiscriminating', 'nondiscriminating accountable', 'online bidding', 'online payment', 'payment', 'payment integrated', 'posting receiving', 'reengineers internal', 'processes', 'processes turn', 'procurement efficient', 'procurement functions', 'procurement law', 'procurement lesson', 'procurement processes', 'procurement required', 'proposal', 'proposal lrb', 'receiving', 'receiving bids', 'reengineers', 'accordingly']",0.03731343283582089,0.5555555555555556,0.06993006993006992,9,134
