Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywordsP@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['monte carlo calculations', 'measurement systems reports', 'new graphical user', 'vivo measurement systems', 'monte carlo', 'graphical user interface', 'carlo calculations', 'systems reports', 'new graphical', 'computation phantoms', 'vivo measurement', 'mcnp calculations', 'graphical user', 'user interface', 'fast construction', 'measurement systems', 'radionuclides deposited', 'mcnp input data', '-lrb- brightness -rrb-', 'new utility', 'data analysis', 'new', 'phantoms', 'vivo', 'reports', 'monte', 'carlo', 'calculations', 'magnetic resonance imaging', 'mcnp', 'mcnp input', 'data', '-rrb- anatomy', 'low energy', 'precise geometric representation', 'gamma ray emitting', 'ray emitting sources', '-lrb-', '-rrb-', 'energy gamma ray', 'low energy gamma', 'signal -lrb- brightness', 'magnetic resonance', 'resonance imaging', 'utility', 'input data file', 'data file based', 'computed tomography', 'tissues', 'signal -lrb-', '-lrb- brightness', 'brightness -rrb-', 'graphical', 'user', 'interface', 'fast', 'construction', 'computation', 'application', 'calibration', 'measurement', 'systems', 'development', 'analysis', 'radionuclides', 'deposited', 'scanning data', 'resonance imaging scanning', 'input data', 'data file', 'precise geometric', 'geometric representation', 'particularly important', 'gamma ray', 'ray emitting', 'emitting sources', 'low', 'energy', 'energy gamma', 'low energy emitters', 'magnetic', 'individual', 'individual properties', 'imaging', 'tomography', 'resonance', 'computed', 'scanning', 'imaging scanning information', 'utility includes segmentation', 'software enables automatic', 'enables automatic creation', 'distinguishing tissues according', 'imaging scanning', 'utility includes', 'distinguishing tissues', 'tissues according', 'software enables', 'enables automatic', 'automatic creation', 'file based', 'individual voxels', 'energy emitters', 'biological tissues', 'scanning information', 'properties', 'worker', 'acquired', 'precise', 'geometric', 'representation', 'anatomy', 'particularly', 'important', 'gamma', 'ray', 'emitting', 'sources', 'thorium', 'uranium', 'plutonium', 'actinides', 'includes segmentation', 'images obtained', 'software', 'enables', 'automatic', 'creation', 'input', 'file', 'based', 'memory demand', 'calculational speed', 'includes', 'segmentation', 'images', 'obtained', 'distinguishing', 'according', 'signal', 'brightness', 'specification', 'detector', 'information', 'addition', 'coupling', 'voxels', 'reduce', 'memory', 'demand', 'increase', 'speed', 'tested', 'emitters', 'plastic', 'biological']",0.1282051282051282,0.8,0.22099447513812154,25,156,0.2,0.04,0.06666666666666667,0.1,0.04,0.05714285714285714,0.06666666666666667,0.04,0.05,0.581099420601273,0.17539088879231746
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['mobile manipulator imaging', 'manipulator imaging system', 'bridge crack inspection', 'manipulator imaging', 'imaging system', 'bridge crack', 'inspection', 'bridge', 'crack inspection', 'system', 'manipulator system', 'imaging', 'manipulator', '-lrb- ccd -rrb-', 'bridge inspection vehicle', 'crack', 'mobile manipulator', 'preliminary evaluation', 'bridge inspection', 'mobile', '-lrb- ccd', 'ccd -rrb-', 'ccd', 'arms', 'devices -lrb- ccd', 'eyesight inspection', 'precise inspection', 'bridge safety', 'preliminary', 'evaluation', 'bridge safety inspections', 'crack inspection process', 'development', 'developed', 'automation', 'inspection vehicle', 'ccd cameras', 'vehicle', 'inspectors', 'cameras', 'four-axis manipulator system', 'inspection process', 'manipulator system consists', 'mobile vehicle', '-lrb-', '-rrb-', 'devices -lrb-', 'four-axis manipulator', 'safety inspections', 'system consists', 'safety', 'eyesight', 'screening', 'precise', 'important', 'currently', 'stand', 'platform', 'temporarily', 'erected', 'scaffolding', 'examine', 'underside', 'procedure', 'risky', 'automate', 'help', 'process', 'installed', 'four-axis', 'parallel', 'detect', 'examining', 'equipped', 'binocular', 'charge', 'coupled', 'devices', 'structures', 'accessible', 'eye', 'balance', 'detect cracks', 'reduces', 'danger', 'accidents', 'human', 'mechanically', 'experiments', 'consists', 'weights', 'placed', 'ends', 'respectively', 'maintain', 'center', 'gravity', 'operation', 'revolve', 'smoothly', 'indicated', 'coupled devices -lrb-', 'temporarily erected', 'erected scaffolding', 'parallel cameras', 'human inspectors', 'help automate', 'temporarily erected scaffolding', 'binocular charge', 'charge coupled', 'coupled devices', 'examining structures', 'balance weights', 'experiments indicated', 'revolve smoothly', 'binocular charge coupled', 'charge coupled devices']",0.05982905982905983,1.0,0.11290322580645161,7,117,0.2,0.14285714285714285,0.16666666666666666,0.1,0.14285714285714285,0.11764705882352941,0.13333333333333333,0.2857142857142857,0.18181818181818182,0.502826469713698,0.12801291331542317
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['safe problem', '-lrb-', '-rrb-', 'problem', 'safe', 'solution', 'matrices', 'locks', 'studied', 'linear equations', 'residue class', 'safe insuring', 'possible variants defined', 'possible variants', 'variants defined', 'reduced', 'system', 'linear', 'equations', 'modulo', 'residue', 'class', 'proposed', 'initial state', 'possible', 'variants', 'defined', 'numbers', 'evenness', 'having', 'cases', 'correction', 'initial', 'state', 'insuring']",0.05714285714285714,0.5,0.10256410256410256,4,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3074104393700602,0.07795515295515296
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['-lrb- html -rrb-', 'markup language -lrb-', 'language -lrb- html', 'language -lrb-', '-lrb- html', 'wireless markup language', 'html -rrb-', 'html -rrb- pages', 'hypertext markup language', 'wap site management', '-lrb- wml', 'wml -rrb-', 'intelligent wap site', 'markup language', 'wap', 'management system', 'wireless communications', 'html web sites', '-lrb-', 'site management system', 'wap site', '-rrb-', 'wireless markup', 'wml', 'intelligent wap', 'proper wml ones', 'hypertext markup', 'i-wap', 'system', 'html', 'management', 'html web', 'site management', '-rrb- pages', 'wireless', 'wml ones', 'translate hypertext markup', 'markup', 'language', 'wap management', 'proper wml', 'wap users', 'sites', 'intelligent management system', 'maintaining wap sites', 'contents', 'proper wap', 'proper wap content', 'intelligent', 'wap content', 'mobile phone screens', 'web sites', 'maintaining wap', 'site', 'original contents', 'intelligent management', 'users', 'mobile phone', 'phone screens', 'hypertext', 'popularity', 'communications', 'developed', 'proper', 'translate hypertext', 'mobile', 'phone', 'screens', 'costs', 'original', 'reduced', 'contents designed', 'web', 'system manager', 'manpower costs', 'translate', 'pages', 'ones', 'imperative', 'difficult', 'read', 'designed', 'considerable time', 'meaningless contents', 'maintained', 'considerable', 'time', 'manpower', 'incurred', 'rebuild', 'costs associated', 'paper', 'propose', 'cope', 'problems', 'help', 'automatically', 'efficient', 'way', 'maintaining', 'consequence', 'associated', 'significantly', 'numerical', 'manager', 'allows', 'define', 'relevance', 'numerals', 'keywords', 'removing', 'unimportant', 'meaningless', 'significantly reduced', 'cost', 'reducing', 'reorganized', 'fit', 'size', 'enhancing', 'readability', 'results', 'gained', 'experiments', 'evinced', 'effective', 'performance', 'automatically translated', 'efficient way', 'removing unimportant', 'numerical results', 'communication cost', 'enhancing readability', 'results gained', 'effective performance', 'numerical results gained']",0.03676470588235294,1.0,0.07092198581560283,5,136,0.2,0.2,0.20000000000000004,0.1,0.2,0.13333333333333333,0.06666666666666667,0.2,0.1,0.36757840331172636,0.0796603426769385
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['density functionally gradient', 'plane strain theory', 'transversely isotropic bodies', 'functionally gradient piezoelectric', 'gradient piezoelectric cantilever', 'general solution', 'functionally gradient', 'piezoelectric cantilever', 'density functionally', 'plane strain', 'strain theory', 'transversely isotropic', 'isotropic bodies', 'gradient piezoelectric', 'airy stress function', 'solution', 'general', 'cantilever', 'piezoelectric', 'inverse method -lrb-', 'function method -rrb-', 'airy stress', 'density', 'method -lrb-', 'functionally', 'gradient', 'piezoelectric cantilever actuator', 'stress function method', 'method', 'stress', 'plane', 'strain', 'theory', 'transversely', 'isotropic', 'bodies', 'study', '-lrb-', 'airy', '-rrb-', 'density distribution', 'applications', 'stress function', 'cantilever actuator', 'density distribution profile', 'piezoelectric material', 'given piezoelectric', 'inverse method', 'function method', 'given piezoelectric material', 'induction functions', 'function', 'order', 'find', 'inverse', 'obtained', 'induction', 'form', 'polynomials', 'beam', 'based', 'different loading', 'loading conditions', 'furthermore', 'deduced', 'different', 'loading', 'conditions', 'finally', 'material', 'studied', 'engineering', 'tip', 'deflection', 'blocking', 'force', 'actuator', 'different loading conditions', 'addressed', 'determine', 'distribution', 'profile', 'given', 'tip deflection', 'blocking force', 'distribution profile']",0.09302325581395349,1.0,0.1702127659574468,8,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36840542691467537,0.08578538684129466
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['decomposition', 'approach', 'boolean', 'new approach', 'functions', 'boolean functions', 'q-partitions', 'new', 'method', '-lrb- 1999 -rrb-', 'upr', '-lrb-', '-rrb-', '-lrb- 1999', '1999 -rrb-', 'repeated decomposition', 'repeated', 'sist', 'approach proposed', 'mash', 'decomposition clone', 'disjunctive decomposition', 'examples', '1999', 'depend', 'variables', 'represented', 'forms', 'considered', 'q-partitioning', 'based', 'minterms', 'introduced', 'concept', 'clone', 'theorem', 'simple', 'disjunctive', 'partial', 'formulated', 'proposed', 'illustrated', 'partial functions', 'introduced concept', 'simple disjunctive', 'simple disjunctive decomposition']",0.08695652173913043,1.0,0.16,4,46,0.2,0.25,0.22222222222222224,0.1,0.25,0.14285714285714288,0.13333333333333333,0.5,0.2105263157894737,0.432391703443611,0.16037330316742082
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['-lrb- bms -rrb-', 'systems -lrb- bms', 'management systems -lrb-', 'building management systems', '-lrb- bms', 'bms -rrb-', 'study examines user', 'building management', 'management systems', 'systems -lrb-', 'modelling user acceptance', 'examines user acceptance', 'study examines', 'questionnaire survey', 'user acceptance', 'optimising building performance', 'modelling user', 'systems', 'examines user', 'management', 'building', '-lrb-', 'bms', '-rrb-', 'user perceptions', 'user', 'perceived ease', 'optimising building', 'building performance', 'acceptance', 'ease', 'modelling', 'technology acceptance', 'study', 'examines', 'questionnaire', 'survey', 'perceptions', 'widely reported', 'research', 'compatibility', 'perceived', 'use relative', 'previous research', 'established models', 'positive influence', 'users', 'crucial', 'optimising', 'performance', 'widely', 'reported', 'making', 'facilities', 'indicated differing levels', 'indicated differing', 'differing levels', 'established', 'models', 'technology', 'employed', 'positive', 'influence', 'demonstrated', 'previous', 'shown generally', 'voluntariness', 'indicated', 'differing', 'levels', 'importance', 'relative', 'factors', 'important', 'shown', 'generally', 'balance', 'moderated']",0.0641025641025641,0.8333333333333334,0.11904761904761904,6,78,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.16666666666666666,0.09523809523809522,0.3376400128154812,0.06579042703293203
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['conjugation conditions new', 'conditions new optimal', 'distributed systems described', 'quadratic minimized function', 'new optimal control', 'conditions new', 'new optimal', 'optimal control problems', 'computational finite-element schemes', 'distributed systems', 'systems described', 'quadratic minimized', 'minimized function', 'elliptic system', 'conjugate conditions', 'elliptic equations', 'optimal control', 'computational finite-element', 'finite-element schemes', 'computational discretization schemes', 'highly accurate computational', 'control problems', 'new', 'optimal', 'elliptic', 'conditions', 'accurate computational discretization', 'hilbert space', 'control', 'feasible control set', 'computational', 'schemes', 'accurate computational', 'computational discretization', 'discretization schemes', 'highly accurate', 'finite-element', 'system', 'conjugation', 'conjugate', 'problems', 'considered', 'distributed', 'described', 'equations', 'quadratic', 'minimized', 'function', 'feasible control', 'control set', 'hilbert', 'sub delta', 'highly', 'accurate', 'discretization', 'constructed', 'case', 'feasible', 'set', 'sub', 'delta', 'coincides', 'space']",0.09523809523809523,1.0,0.17391304347826084,6,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3178481949658973,0.06740795280412767
"['systemological analysis', 'formal system representation', 'axiomatics']","['systemological analysis coordinated', 'new method', 'analysis coordinated', '-lrb- 2000 -rrb-', 'new', 'coordinated', 'procedure', 'object-oriented', 'method', 'systemological', 'design', 'analysis', 'systems', 'object-oriented systemological method', 'ufo analysis', '-lrb- 2000', '2000 -rrb-', 'vestn', 'object-oriented design', '-lrb-', '-rrb-', 'systemological method', 'node-function-object class', 'node-function-object', 'nfo', 'ufo', 'case', 'formalized nfo', 'case tools', 'ufo analysis algorithm', 'systemological analysis', 'design complex', 'node-function-object class hierarchy', 'khgpu', 'considered', '2000', 'design complex systems', 'paper', 'presents', 'results', 'development', 'complex', 'formal', 'representation', 'axiomatics', 'calculus', 'functional', 'flow-type', 'objects', 'based', 'class', 'hierarchy', 'proposed', 'formalized', 'algorithm', 'tools', 'support', 'complex systems', 'paper presents', 'formal system', 'system representation', 'functional flow-type', 'flow-type objects', 'objects based', 'class hierarchy', 'formal system representation', 'functional flow-type objects', 'flow-type objects based']",0.04411764705882353,1.0,0.08450704225352113,3,68,0.2,0.3333333333333333,0.25,0.1,0.3333333333333333,0.15384615384615383,0.06666666666666667,0.3333333333333333,0.1111111111111111,0.5279530944133908,0.16306792622582095
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['taiwan government procurement', 'electronic government procurement', '-lrb- tgpl -rrb-', 'render government procurement', 'government procurement efficient', 'government procurement', 'government procurement system', 'law -lrb- tgpl', 'tgpl -rrb- states', 'procurement law -lrb-', 'taiwan government', 'lesson learned', 'electronic government', 'procurement', 'government', '-lrb- tgpl', 'tgpl -rrb-', 'procurement system', 'procurement efficient', 'rfp -rrb- development', 'render government', 'electronic tendering', 'proposal -lrb- rfp', 'taiwan', 'procurement system functions', 'electronic', '-lrb- rfp', 'rfp -rrb-', 'employ electronic devices', 'law -lrb-', '-rrb- states', '-lrb-', '-rrb-', 'system', 'reengineers internal procurement', 'internal procurement processes', 'procurement law', 'employ electronic', 'electronic devices', 'proposal -lrb-', 'internal procurement', 'procurement processes', 'government bodies', 'framework', 'tendering', 'lesson', 'learned', 'render', 'efficient', 'transparent', 'nondiscriminating', 'accountable', 'required', 'tgpl', 'system functions', 'system features explored', 'online', 'system features', 'development', 'internet', 'rfp', 'investigation demonstrates', 'reengineers internal', 'turn benefits', 'accordingly', 'online bidding', 'online payment', 'contract development tools', 'contract development', 'development tools', 'law', 'states', 'suppliers', 'employ', 'devices', 'forward', 'information infrastructures', 'existing information infrastructures', 'features explored', 'include posting', 'receiving bids', 'vendor registration', 'certificate authorization', 'integrated easily', 'existing information', 'investigation', 'demonstrates', 'functions', 'reengineers', 'internal', 'processes', 'turn', 'benefits', 'bodies', 'vendors', 'infrastructures', 'features', 'explored', 'include', 'posting', 'receiving', 'bids', 'bid', 'bidding', 'registration', 'certificate', 'authorization', 'contract', 'tools', 'request', 'proposal', 'payment', 'integrated', 'easily', 'existing', 'information']",0.0603448275862069,0.875,0.11290322580645162,8,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34659361285053825,0.07222463620911318
