Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords
"['high-fidelity finite element model', 'kidney', 'trauma research', 'National Library of Medicine', 'image segmentation', 'organ reconstruction', 'software package', '2D VHF images', '3D polygonal representation', 'NURBS', 'polygonal surfaces', '3D hexahedral finite element mesh', 'hyperelastic material model', 'biological soft tissues', 'biomechanical research', 'Visible Human Female project', 'medical data set', 'physically based animation', 'nonuniform rational B-spline surfaces', 'viscoelastic model']","['the National Library of Medicine Visible Human Female', 'Nonuniform']",0.0,0.0,0,20,2
"['hybrid simulation', 'space plasmas', 'massless fluid representation', 'Kelvin-Helmholtz instability', 'transition layer', 'tangential discontinuity', 'pressure anisotropy', 'electromagnetic hybrid model', 'three-dimensional hybrid simulation', 'magnetopause shear layer', 'field reversal layer', 'magnetized plasma flow', 'cylindrical plasma source']","['Prikl', 'Informatika', 'MAKS Press', '4', '5', '2000', 'the Kelvin-Helmholtz', 'two', 'three', 'the Kelvin-Helmholtz', 'zero']",0.0,0.0,0,13,11
"['freely available Java software', 'database connectivity', 'images', 'detailed story problems', 'feedback', 'multiple-choice questions', 'menu selections', 'button presses', 'individual pedagogical needs', 'online Homework/Quiz/Exam applet', 'online student performance evaluation', 'teacher authored content', 'automatic student score recording', 'randomized question sequence', 'question editing', 'question creation', 'typing content']","['The Homework/Quiz/Exam', 'Java', 'Three']",0.0,0.0,0,17,3
"['information technology investments', 'technology managers', 'information requirements', 'intangible benefits', 'risks factors', 'evaluation categories', 'selection decision', 'tradeoffs', 'decision maker', 'analytic hierarchy process', 'hybrid multiple objective multi-criteria model', 'goal programming methodology', 'zero-one integer variables', 'mixed integer constraints', 'goal target values', 'information technology alternatives', 'pairwise comparison mechanisms', 'nonmonetary benefits', 'group decision process']","['ten', '1', '2', '3', 'GAHP', 'AHP', 'zero-one', 'AHP', 'GAHP']",0.0,0.0,0,19,9
"['Microsoft Project 2002', 'Web-based collaboration tools', 'scalability', 'OLAP support', 'workgroups', 'budgets', 'multiple Web project management']",['Microsoft Project 2002'],1.0,0.14285714285714285,0.25,7,1
"['quality image metrics', 'synthetic images', 'perceptual color differences', 'image rendering', 'color images', 'perceptually based metrics', 'visual quality', 'digital simulations', 'LLAB color space', 'CIELab1976 color space', 'pixel by pixel metric', 'local distance map', 'global value', 'recursive subdivision', 'adaptative distance map']","['three', 'LLAB', 'first', 'two', 'second', 'third', 'first']",0.0,0.0,0,15,7
"['Boolean algebras', 'prescribed behaviour', 'free product', 'ZFC', 'ultraproducts', 'homomorphic images', 'cardinal invariants']","['two', 'Boolean', 'pcf']",0.0,0.0,0,7,3
"['polynomial equations', 'Bezout matrix identities', 'constructive system embedding', 'Euclidean algorithm', 'determinate systems']","['Bezout', 'Euclidean']",0.0,0.0,0,5,2
"['MEMS', 'computer disk drive dual-stage servo systems', 'decoupled discrete time pole placement design method', 'self-tuning scheme', 'microactuator', 'track-following controller design', 'servo control', 'hard disk drives', 'electrostatic design', 'fabrication process']","['MA', 'Section II', 'MA']",0.0,0.0,0,10,3
"['dynamical transition', 'periodic motions', 'recurrent bus', 'nonstops', 'circular route', 'recurrent time', 'nonlinear map', 'complex periodic behaviors', 'attractor']",[],0,0.0,0,9,0
"['rapid microwell polymerase chain reaction', 'ultrathin-layer gel electrophoresis', 'large-scale genotyping', 'expression profiling', 'DNA amplification', 'reagent consumption', 'sample loading robots', 'computerized real time data analysis', 'automated microseparation', 'complexation with ethidium bromide', 'real time imaging', 'rapid high-performance analysis', 'automated electrophoresis analysis', 'integrated scanning LIF APD detection']","['minute', '0.75-1 mu L', '15-20 min', '5 min', '0.2 mu L']",0.0,0.0,0,14,5
"['Internet activity', 'national governments', 'online activities', 'legal jurisdiction', 'lawsuits', 'Internet treaties', 'public order protection', 'commercial laws enforcement', 'consumer interests protection', 'Internet sites blocking']",[],0,0.0,0,10,0
"['strategic stocks', 'materials requirements planning', 'MRP', 'market demand', 'service level', 'peak demand', 'safety stocks', 'inventory management', 'variance control', 'stock replenishment']",['about 20 per cent'],0.0,0.0,0,10,1
"['internship program', 'IBM business managers', 'MBA college students', 'computer-science students', 'patents']","['IBM', 'MBA', '11-week']",0.0,0.0,0,5,3
"['randomized two-process wait-free test-and-set', 'randomized algorithm', '4-valued single writer single reader atomic variables', 'expected elementary steps', 'finite-state analysis', 'correctness proofs', 'symmetry breaking', 'asynchronous distributed protocols', 'fault-tolerance', 'shared memory', 'wait-free read/write registers']","['first', 'two', 'two', '4', '11', '1', 'one']",0.0,0.0,0,11,7
"['online auctions', 'dynamic pricing', 'lodging industry', 'overnight accommodations', 'Web site scripting', 'online intermediaries', 'specialty brokers', 'Internet usage', 'sales', 'marketing', 'trading model', 'business models', 'price setting mechanism', 'supply chain']","['overnight', 'one']",0.0,0.0,0,14,2
"['nonlinear extrapolation algorithm', 'scalar random process', 'nonlinear random dependences', 'mixed central moment functions', 'moment function', 'canonical decomposition apparatus']","['the V. S. Pugachev', 'third']",0.0,0.0,0,6,2
"['network security', 'international standards', 'IS 15408', 'business risk management', 'IS 17799', 'microcomputer', 'personal computer', 'MULTICS', 'education', 'Web', 'Internet-based information services', 'information systems management', 'computer security', 'trusted systems', 'trustworthy systems', 'IT manufacturers', 'large scale information systems', 'fourth generation computer professionals', 'information systems control']","['20 years', '15408', '17799', 'some 20 years ago', 'MULTICS', 'fourth']",0.16666666666666666,0.05263157894736842,0.08,19,6
"['social impact', 'Internet gambling', 'market opportunities', 'addiction', 'technological developments', 'electronic cash', 'psychology']","['One', 'three', 'First', 'Second', 'Third']",0.0,0.0,0,7,5
"['insider investment', 'telecom industry']","['the last two months', 'Airgate PCS', 'Charter Communications', 'Cox Communications', 'Crown Castle International', 'Nextel Communications', 'Nortel Networks', 'this summer']",0.0,0.0,0,2,8
"['fault-tolerant Hamiltonian laceability', 'hypercubes', 'bipartite graph', 'Hamiltonian path', 'vertices', 'partite sets', 'edge subset', 'tight bounds']","['F', 'Hamiltonian', 'two', '2', 'two', 'Hamiltonian', 'two']",0.0,0.0,0,8,7
"['internal theory', 'inductive design process', 'bottom-up design activities', 'emergent phenomena', 'user experiences', 'constructive induction', 'information architecture design']","['Information Architecture', 'IA', 'IA', 'IA', 'Constructive Induction', 'IA']",0.0,0.0,0,7,6
