Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords
"['computational phantoms', 'monte carlo calculations', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'mcnp input data file', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['low energy gamma ray emitting sources', 'mcnp input data file based', 'magnetic resonance imaging scanning information', 'software enables automatic creation', 'rather precise geometric representation', 'vivo measurement systems reports', 'new graphical user interface', 'magnetic resonance imaging', 'low energy emitters', 'monte carlo calculations', 'individual voxels within', 'utility includes segmentation', 'either computed tomography', 'distinguishing tissues according', 'scanning data', 'mcnp calculations', 'vivo measurements', 'new utility', 'data analysis', 'computed tomography', 'individual properties', 'radionuclides deposited', 'particularly important', 'memory demand', 'images obtained', 'fast construction', 'computational phantoms', 'computation phantoms', 'calculational speed', 'biological tissues', 'utility', 'tissues', 'worker', 'well', 'used', 'uranium', 'tissue', 'thorium', 'tested', 'specification', 'source', 'signal', 'rrb', 'rrb', 'reduce', 'plutonium', 'plastic', 'lrb', 'lrb', 'increase', 'development', 'detector', 'coupling', 'calibration', 'brightness', 'application', 'anatomy', 'addition', 'actinides', 'acquired']",0.3,0.6666666666666666,0.41379310344827586,27,60
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'ccd cameras', 'parallel cameras', 'charge coupled devices']","['binocular charge coupled devices', 'mobile manipulator imaging system', 'mobile manipulator imaging system', 'installed two ccd cameras', 'bridge crack inspection process', 'manipulator system consists', 'axis manipulator system', 'bridge crack inspections', 'temporarily erected scaffolding', 'system also reduces', 'bridge safety inspections', 'bridge crack inspection', 'bridge crack inspection', 'inspectors must stand', 'bridge inspection vehicle', 'manipulator system', 'mobile vehicle', 'system could', 'parallel cameras', 'precise inspection', 'eyesight inspection', 'human inspectors', 'revolve smoothly', 'preliminary evaluation', 'preliminary evaluation', 'important part', 'help automate', 'experiments indicated', 'examining structures', 'balance weights', 'arms 2', 'arms 2', 'four arms', 'detect cracks', 'bridge', 'inspection', 'ccd', 'four', 'cracks', 'useful', 'used', 'underside', 'screening', 'rrb', 'risky', 'respectively', 'procedure', 'platform', 'placed', 'operation', 'mechanically', 'may', 'maintain', 'made', 'lrb', 'however', 'gravity', 'eye', 'examine', 'equipped', 'ends', 'development', 'developed', 'danger', 'currently', 'center', 'automation', 'accidents', 'accessible', '4', '4']",0.056338028169014086,0.5,0.10126582278481013,8,71
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['three possible variants defined', 'modulo 2 residue class', 'safe problem', 'safe problem', 'safe insuring', 'n evenness', 'mn locks', 'linear equations', 'initial state', 'two', 'system', 'studied', 'solution', 'solution', 'solution', 'rrb', 'reduced', 'proposed', 'one', 'numbers', 'matrices', 'lrb', 'correction', 'cases', '1', '0']",0.15384615384615385,1.0,0.2666666666666667,4,26
"['intelligent wap site management system', 'wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['proper wml ones becomes imperative since', 'intelligent wap site management system', 'intelligent wap site management system', 'management system also allows', 'popularity regarding wireless communications', 'translate hypertext markup language', 'maintaining wap sites could', 'intelligent management system', 'wap management system', 'proper wap content', 'wireless markup language', 'hypertext markup language', 'numerical results gained', 'mobile phone screens', 'mobile phone screens', 'pc users via', 'html web sites', 'system manager', 'wap users', 'wap sites', 'various experiments', 'thus reducing', 'removing unimportant', 'original contents', 'original contents', 'meaningless contents', 'manpower costs', 'enhancing readability', 'efficient way', 'effective performance', 'costs associated', 'contents designed', 'considerable time', 'communication cost', 'automatically translated', 'significantly reduced', 'wap', 'wml', 'wml', 'sites', 'html', 'html', 'reduced', 'size', 'rrb', 'rrb', 'rrb', 'reorganized', 'relevance', 'rebuild', 'read', 'propose', 'problems', 'paper', 'pages', 'numerals', 'meanwhile', 'maintained', 'lrb', 'lrb', 'lrb', 'keywords', 'incurred', 'however', 'help', 'fit', 'evinced', 'difficult', 'developed', 'define', 'cope', 'consequence']",0.05555555555555555,0.6666666666666666,0.10256410256410256,6,72
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'airy stress function', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['density functionally gradient piezoelectric cantilever', 'density functionally gradient piezoelectric cantilever', 'airy stress function method', 'density distribution profile', 'piezoelectric cantilever actuator', 'given piezoelectric material', 'transversely isotropic bodies', 'plane strain theory', 'different loading conditions', 'piezoelectric cantilever', 'inverse method', 'tip deflection', 'induction functions', 'general solution', 'general solution', 'general solution', 'general solution', 'general solution', 'blocking force', 'cantilever', 'stress', 'method', 'well', 'used', 'used', 'study', 'studied', 'solutions', 'rrb', 'polynomials', 'order', 'obtained', 'lrb', 'furthermore', 'form', 'find', 'finally', 'engineering', 'e', 'determine', 'deduced', 'beam', 'based', 'applications', 'applications', 'addressed']",0.13043478260869565,0.6666666666666666,0.21818181818181817,9,46
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['simple disjunctive decomposition', 'various forms', 'see upr', 'n variables', 'introduced concept', 'repeated decomposition', 'decomposition clone', 'new approach', 'new approach', 'approach proposed', 'partial functions', 'boolean functions', 'decomposition', 'decomposition', 'approach', 'functions', 'boolean', 'theorem', 'sist', 'rrb', 'represented', 'q', 'q', 'pt', 'partitions', 'partitioning', 'p', 'minterms', 'method', 'method', 'mash', 'lrb', 'illustrated', 'ii', 'full', 'formulated', 'examples', 'depend', 'considered', 'based', '6', '42', '29', '1999']",0.06818181818181818,0.75,0.125,4,44
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['study examines user acceptance', 'optimising building performance', 'indicated differing levels', 'modelling user acceptance', 'building management systems', 'building management systems', 'making full use', 'technology acceptance', 'user perceptions', 'user perceptions', 'widely reported', 'shown generally', 'questionnaire survey', 'positive influence', 'established models', 'use relative', 'perceived ease', 'perceived ease', 'previous research', 'systems', 'systems', 'use', 'use', 'ease', 'research', 'yet', 'voluntariness', 'using', 'users', 'though', 'rrb', 'moderated', 'lrb', 'important', 'importance', 'factors', 'facilities', 'employed', 'demonstrated', 'crucial', 'compatibility', 'compatibility', 'bms', 'balance']",0.11363636363636363,0.8333333333333334,0.19999999999999998,6,44
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['conjugation conditions new optimal control problems', 'highly accurate computational discretization schemes', 'full hilbert space u', 'feasible control set u', 'quadratic minimized function', 'distributed systems described', 'optimal control', 'conjugate conditions', 'element schemes', 'computational finite', 'sub delta', 'elliptic system', 'elliptic equations', 'controls', 'constructed', 'considered', 'coincides', 'case']",0.16666666666666666,0.5,0.25,6,18
"['systemological analysis', 'formal system representation', 'axiomatics', 'case tools']","['oriented systemological method used', 'systemological analysis coordinated', 'case tools used', 'ufo analysis algorithm', 'type objects based', 'formal system representation', 'object class hierarchy', 'design complex systems', 'oriented design', 'new method', 'see vestn', 'paper presents', 'functional flow', 'formalized nfo', 'systems', 'object', 'object', 'well', 'support', 'rrb', 'results', 'pt', 'proposed', 'procedure', 'p', 'node', 'lrb', 'khgpu', 'ii', 'function', 'development', 'considered', 'calculus', 'axiomatics', '81', '2000', '18', '15']",0.05263157894736842,0.5,0.09523809523809525,4,38
"['electronic tendering', 'electronic government procurement system', 'taiwan government procurement law', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['system features explored herein include posting', 'suppliers may employ electronic devices', 'electronic government procurement system functions', 'electronic government procurement system', 'reengineers internal procurement processes', 'render government procurement efficient', 'taiwan government procurement law', 'receiving bids via', 'integrated easily within', 'existing information infrastructures', 'contract development tools', 'government procurement', 'electronic tendering', 'government bodies', 'vendor registration', 'turn benefits', 'online payment', 'online bidding', 'lesson learned', 'investigation demonstrates', 'certificate authorization', 'taiwan', 'development', 'vendors', 'transparent', 'tgpl', 'tender', 'states', 'rrb', 'rrb', 'rfp', 'required', 'request', 'proposal', 'nondiscriminating', 'lrb', 'lrb', 'internet', 'framework', 'forward', 'bid', 'accountable', 'accordingly']",0.18604651162790697,0.8888888888888888,0.3076923076923077,9,43
"['admissible measurement errors', 'fuzzy information', 'informative attributes', 'measurement error', 'fuzzy set theory']","['maximally admissible degree', 'admissible measurement errors', 'fuzzy set theory', 'measurement error', 'fuzzy values', 'fuzzy information', 'informative attributes', 'current state', 'correctly identify', 'complex systems', 'complex systems', 'using', 'system', 'states', 'states', 'problem', 'possible', 'obtained', 'make', 'identification', 'identification', 'estimation', 'estimates', 'considered', 'basis', 'basis', 'apparatus']",0.18518518518518517,1.0,0.3125,5,27
"['linear algebraic equations', 'numerical system']","['linear algebraic equations', 'linear algebraic equations', 'special kind', 'dimensional lambda', 'dimensional lambda', 'system lies', 'numerical system', 'proposed method', 'system', 'method', 'systems', 'solution', 'solution', 'searching', 'reducing', 'matrices', 'matrices', 'considered']",0.1111111111111111,1.0,0.19999999999999998,2,18
"['building management systems', 'bms', 'facilities management systems', 'fms', 'database integration', 'internet protocols', 'embedded web server', 'pc web server', 'distributed component object model', 'dcom', 'software development technology', 'open control network']","['interconnecting bms local networks via internet', 'paper addresses two technical issues', 'system integrated open control networks', 'integrating control networks using', 'distributed component object model', 'accessing bms remotely via', 'integrating building management system', 'develop building management systems', 'open control network', 'facilities management systems', 'facilities management systems', 'building facilities management', 'software development technology', 'pc web server', 'embedded web server', 'including database integration', 'facilities management', 'enabled system', 'integrates building', 'using internet', 'internet recently', 'internet protocols', 'experimental internet', 'three strategies', 'great interest', 'based access', 'developed utilizing', 'bms', 'bms', 'web', 'internet', 'internet', 'internet', 'integration', 'developed', 'tested', 'rrb', 'rrb', 'rrb', 'rrb', 'presented', 'platform', 'lrb', 'lrb', 'lrb', 'lrb', 'intranet', 'intranet', 'intranet', 'infrastructures', 'fms', 'fms', 'dcom', 'analyzed', 'adopt', 'addressed']",0.17857142857142858,0.8333333333333334,0.29411764705882354,12,56
"['collective dose calculations', 'facility operations', 'public', 'geographic information system software', 'electronic population data resources', 'personal computer']","['population within 80 km radii', 'geographic information system software', 'electronic population data resources', 'collective dose provides', 'collective dose calculations', 'two sites', 'public based', 'personal computer', 'facility operations', 'estimating populations', 'develop estimates', 'population', 'used', 'estimate', 'estimate', 'effects', 'area']",0.29411764705882354,0.8333333333333334,0.4347826086956522,6,17
