Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywordsP@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP
"['computational phantoms', 'in vivo measurements', 'radionuclides', 'tissues', 'worker', 'precise geometric representation', 'scanning data', 'computed tomography', 'brightness', 'graphical user interface', 'computation phantoms', 'calibration', 'in vivo measurement systems', 'signal', 'detector', 'individual voxels', 'memory demand', 'calculational speed', 'plastic', 'magnetic resonance imaging scanning information', 'anatomy', 'low energy gamma ray emitting sources', 'actinides', 'software', 'automatic creation']","['utility', 'data', 'tissues', 'low energy', 'computed', 'computed tomography', 'scanning', 'rrb', 'resonance imaging', 'phantoms', 'energy', 'new', 'imaging', 'mcnp', 'magnetic resonance', 'magnetic', 'lrb', 'low', 'calculations', 'resonance', 'individual', 'tomography', 'vivo', 'tomography magnetic', 'includes segmentation', 'addition coupling', 'file based', 'addition', 'file', 'fast construction', 'fast', 'energy gamma', 'energy emitters', 'analysis', 'gamma ray', 'enables automatic', 'enables', 'emitting sources', 'emitting', 'emitters plastic', 'emitters', 'distinguishing tissues', 'gamma', 'geometric', 'includes', 'acquired precise', 'important low', 'according signal', 'important', 'acquired', 'increase', 'imaging scanning', 'imaging distinguishing', 'actinides', 'geometric representation', 'increase calculational', 'actinides software', 'images obtained', 'images', 'graphical user', 'graphical', 'development computational', 'distinguishing', 'automatic creation', 'development', 'application calibration', 'computational', 'computation phantoms', 'computation', 'carlo calculations', 'carlo', 'calibration vivo', 'calibration', 'calculations data', 'calculations application', 'calculational speed', 'calculational', 'brightness rrb', 'brightness', 'biological tissues', 'biological', 'based scanning', 'automatic', 'computational phantoms', 'construction', 'based', 'construction computation', 'detector', 'deposited tissues', 'deposited', 'demand increase', 'demand', 'data utility', 'data file', 'data analysis', 'analysis vivo', 'individual properties', 'anatomy', 'anatomy particularly', 'creation mcnp', 'creation', 'application', 'coupling individual', 'coupling', 'detector addition', 'worker acquired', 'individual voxels', 'information', 'systems reports', 'systems', 'speed utility', 'speed', 'specification source', 'specification', 'sources thorium', 'sources', 'source detector', 'source', 'software enables', 'software', 'signal lrb', 'signal', 'segmentation images', 'segmentation', 'scanning information', 'scanning data', 'rrb specification', 'tested', 'tested low', 'thorium', 'user', 'voxels tissue', 'voxels', 'vivo measurements', 'vivo measurement', 'utility tested', 'utility includes', 'utility development', 'user interface', 'used reduce', 'thorium uranium', 'used', 'uranium plutonium', 'uranium', 'tissues individual', 'tissues computed', 'tissues according', 'tissue used', 'tissue', 'rrb anatomy', 'representation lrb', 'representation', 'measurement', 'new graphical', 'monte carlo', 'monte', 'memory demand', 'memory', 'measurements radionuclides', 'measurements', 'measurement systems', 'mcnp input', 'obtained', 'mcnp calculations', 'lrb rrb', 'lrb brightness', 'worker', 'interface fast', 'interface', 'input data', 'input', 'new utility', 'obtained computed', 'reports new', 'properties', 'reports', 'reduce memory', 'reduce', 'ray emitting', 'ray', 'radionuclides deposited', 'radionuclides', 'properties worker', 'precise geometric', 'particularly', 'precise', 'plutonium actinides', 'plutonium', 'plastic biological', 'plastic', 'phantoms monte', 'phantoms mcnp', 'particularly important', 'according']",0.0979381443298969,0.76,0.17351598173515984,25,194,0.2,0.04,0.06666666666666667,0.2,0.08,0.11428571428571428,0.13333333333333333,0.08,0.1,0.539034169453039,0.11326460481099657
"['mobile manipulator', 'imaging system', 'bridge crack inspection', 'automation', 'eyesight inspection', 'parallel cameras', 'charge coupled devices']","['inspection', 'bridge', 'manipulator', 'bridge crack', 'crack', 'mobile', 'crack inspection', 'arms', 'inspections', 'evaluation', 'cameras', 'cracks', 'ccd', 'manipulator imaging', 'preliminary', 'mobile manipulator', 'preliminary evaluation', 'inspectors', 'imaging', 'vehicle', 'evaluation screening', 'devices', 'gravity operation', 'detect cracks', 'developed', 'developed automation', 'gravity', 'eyesight inspection', 'eyesight', 'eye reduces', 'development', 'development mobile', 'eye', 'devices lrb', 'evaluation currently', 'ends', 'ends arms', 'equipped', 'equipped binocular', 'experiments indicated', 'erected', 'erected scaffolding', 'experiments', 'danger accidents', 'examining structures', 'examining', 'examine underside', 'examine', 'detect', 'weights placed', 'danger', 'automation', 'binocular charge', 'binocular', 'balance weights', 'balance', 'axis manipulator', 'axis', 'automation bridge', 'automate bridge', 'bridge procedure', 'automate', 'arms revolve', 'arms respectively', 'arms balance', 'accidents human', 'accidents', 'accessible eye', 'bridge inspection', 'bridge safety', 'currently inspectors', 'consists arms', 'currently', 'cracks manipulator', 'cracks important', 'help automate', 'crack inspections', 'coupled devices', 'coupled', 'consists', 'cameras axis', 'charge coupled', 'charge', 'center gravity', 'center', 'ccd rrb', 'ccd cameras', 'cameras used', 'help', 'important', 'human', 'revolve smoothly', 'scaffolding', 'safety inspections', 'safety', 'rrb examining', 'rrb', 'risky help', 'risky', 'revolve', 'precise inspection', 'respectively maintain', 'respectively', 'reduces danger', 'reduces', 'process installed', 'process', 'procedure risky', 'scaffolding examine', 'screening', 'screening precise', 'smoothly', 'vehicle temporarily', 'vehicle parallel', 'useful bridge', 'useful', 'used detect', 'used', 'underside bridge', 'underside', 'temporarily erected', 'temporarily', 'structures accessible', 'structures', 'stand platform', 'stand', 'smoothly experiments', 'procedure', 'precise', 'human inspectors', 'inspection inspection', 'inspectors stand', 'inspectors manipulator', 'inspections eyesight', 'inspection vehicle', 'inspection process', 'inspection preliminary', 'inspection mobile', 'inspection cracks', 'platform bridge', 'inspection bridge', 'indicated useful', 'indicated', 'important preliminary', 'weights', 'imaging developed', 'imaging bridge', 'installed', 'installed ccd', 'lrb', 'lrb ccd', 'platform', 'placed ends', 'placed', 'parallel cameras', 'parallel', 'operation mechanically', 'operation', 'mobile vehicle', 'mechanically arms', 'mechanically', 'manipulator mobile', 'manipulator equipped', 'manipulator consists', 'maintain center', 'maintain', 'accessible']",0.023952095808383235,0.5714285714285714,0.04597701149425287,7,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3132400124747004,0.035055099884265084
"['safe problem', 'mn locks', 'linear equations', 'modulo 2 residue class']","['solution', 'safe', 'problem', 'safe problem', 'variants defined', 'having solution', 'lrb rrb', 'lrb', 'locks studied', 'locks', 'linear equations', 'linear', 'insuring solution', 'insuring', 'initial state', 'initial', 'evenness having', 'having', 'matrices safe', 'evenness', 'equations modulo', 'equations', 'defined numbers', 'defined', 'correction initial', 'correction', 'class possible', 'class', 'cases correction', 'matrices', 'modulo', 'mn', 'mn locks', 'studied reduced', 'studied', 'state safe', 'state', 'solution safe', 'solution proposed', 'solution cases', 'safe insuring', 'rrb matrices', 'rrb', 'residue class', 'residue', 'reduced linear', 'reduced', 'proposed', 'problem mn', 'problem lrb', 'possible variants', 'possible', 'numbers evenness', 'numbers', 'modulo residue', 'variants', 'cases']",0.05263157894736842,0.75,0.09836065573770492,4,57,0.2,0.25,0.22222222222222224,0.1,0.25,0.14285714285714288,0.13333333333333333,0.5,0.2105263157894737,0.41812585474491526,0.10605716878402904
"['wireless markup language', 'hypertext markup language', 'mobile phone', 'communication cost', 'readability']","['wap', 'management', 'sites', 'contents', 'language', 'lrb', 'language lrb', 'html', 'rrb', 'intelligent', 'markup language', 'wml', 'markup', 'intelligent wap', 'screens', 'site management', 'costs', 'phone', 'site', 'lrb html', 'hypertext markup', 'phone screens', 'hypertext', 'users', 'wap site', 'wireless', 'mobile', 'mobile phone', 'reduced', 'wap sites', 'html rrb', 'original', 'original contents', 'proper', 'imperative difficult', 'imperative', 'incurred rebuild', 'help intelligent', 'html web', 'incurred', 'help', 'gained various', 'wml rrb', 'intelligent management', 'keywords', 'keywords removing', 'fit size', 'lrb wml', 'maintained', 'maintained hypertext', 'maintaining', 'maintaining wap', 'management allows', 'management cope', 'management original', 'management popularity', 'manager', 'gained', 'enhancing', 'fit', 'cope problems', 'contents reduced', 'contents original', 'contents html', 'contents designed', 'content efficient', 'content', 'considerable time', 'considerable', 'consequence costs', 'consequence', 'communications wap', 'communications', 'communication cost', 'communication', 'automatically translated', 'automatically', 'associated maintaining', 'associated', 'allows manager', 'cope', 'cost', 'experiments evinced', 'cost enhancing', 'experiments', 'evinced effective', 'evinced', 'enhancing readability', 'manpower', 'efficient way', 'efficient', 'effective performance', 'effective', 'difficult wap', 'difficult', 'developed wireless', 'developed', 'designed pc', 'designed', 'define relevance', 'define', 'costs incurred', 'costs associated', 'manager define', 'numerical results', 'manpower costs', 'translate hypertext', 'time manpower', 'time', 'size mobile', 'size', 'sites significantly', 'sites maintained', 'sites developed', 'sites automatically', 'significantly reduced', 'significantly', 'screens sites', 'screens reducing', 'rrb translate', 'rrb pages', 'rrb considerable', 'results gained', 'results', 'translate', 'translated', 'meaningless', 'translated proper', 'wml ones', 'wireless markup', 'wireless communications', 'web sites', 'web', 'way consequence', 'way', 'wap users', 'wap management', 'wap intelligent', 'wap content', 'various experiments', 'various', 'users read', 'users mobile', 'unimportant meaningless', 'unimportant', 'reorganized fit', 'reorganized', 'removing unimportant', 'removing', 'popularity regarding', 'popularity', 'performance wap', 'performance', 'pc users', 'pc', 'paper propose', 'paper', 'pages proper', 'pages', 'ones imperative', 'ones', 'wml paper', 'numerical', 'numerals keywords', 'numerals', 'meaningless contents', 'problems', 'problems help', 'proper wap', 'reduced management', 'relevance numerals', 'relevance', 'regarding wireless', 'regarding', 'reducing communication', 'reducing', 'reduced reorganized', 'rebuild wml', 'proper wml', 'rebuild', 'readability numerical', 'readability', 'read contents', 'read', 'propose intelligent', 'propose', 'allows']",0.016042780748663103,0.6,0.03125000000000001,5,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26654923232578204,0.022881475822652292
"['plane strain theory', 'transversely isotropic bodies', 'inverse method', 'polynomials', 'loading conditions', 'piezoelectric cantilever actuator', 'density distribution profile', 'piezoelectric material']","['piezoelectric', 'general solution', 'cantilever', 'solution', 'general', 'piezoelectric cantilever', 'density', 'method', 'functionally', 'applications', 'gradient piezoelectric', 'functionally gradient', 'density functionally', 'solution density', 'used', 'stress', 'gradient', 'different loading', 'density distribution', 'different', 'determine density', 'determine', 'distribution', 'used plane', 'distribution profile', 'engineering', 'engineering studied', 'finally', 'force', 'force piezoelectric', 'form', 'form polynomials', 'function', 'function method', 'finally addressed', 'deduced solutions', 'deflection blocking', 'blocking', 'actuator finally', 'addressed', 'addressed method', 'airy', 'airy stress', 'applications general', 'applications used', 'based', 'based general', 'beam', 'beam based', 'blocking force', 'deflection', 'bodies', 'bodies study', 'cantilever actuator', 'cantilever applications', 'cantilever different', 'cantilever order', 'cantilever used', 'conditions', 'conditions furthermore', 'deduced', 'functions form', 'functions', 'given piezoelectric', 'furthermore', 'stress function', 'profile given', 'rrb', 'rrb obtained', 'solution beam', 'solution deduced', 'solution engineering', 'solutions', 'solutions cantilever', 'strain', 'strain theory', 'stress induction', 'polynomials general', 'studied', 'studied tip', 'study', 'study piezoelectric', 'theory', 'theory transversely', 'tip', 'tip deflection', 'transversely', 'transversely isotropic', 'profile', 'polynomials', 'furthermore applications', 'lrb', 'given', 'used inverse', 'induction', 'induction functions', 'inverse', 'inverse method', 'isotropic', 'isotropic bodies', 'loading', 'loading conditions', 'lrb airy', 'plane strain', 'material', 'method determine', 'method lrb', 'method rrb', 'obtained', 'obtained stress', 'order', 'order general', 'piezoelectric material', 'plane', 'actuator']",0.034782608695652174,0.5,0.06504065040650406,8,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32042097467086234,0.05100474972597735
"['minterms', 'decomposition clone', 'disjunctive decomposition', 'partial functions']","['decomposition', 'approach', 'functions', 'decomposition boolean', 'new approach', 'new', 'approach decomposition', 'method', 'boolean', 'boolean functions', 'examples', 'depend', 'depend variables', 'disjunctive', 'disjunctive decomposition', 'forms', 'decomposition partial', 'forms considered', 'formulated', 'formulated approach', 'functions depend', 'functions formulated', 'functions method', 'decomposition pt', 'various forms', 'decomposition clone', 'ii repeated', '1999 rrb', '29', '29 42', '42', '42 lrb', 'approach based', 'approach proposed', 'based', 'based method', 'clone', 'clone theorem', 'concept', 'concept decomposition', 'considered', 'considered approach', 'ii', 'illustrated examples', 'illustrated', 'simple disjunctive', 'repeated', 'repeated decomposition', 'represented', 'represented various', 'rrb', 'rrb new', 'simple', 'sist', 'pt', 'sist mash', 'theorem', 'theorem simple', 'upr', 'upr sist', 'variables', 'variables represented', 'pt upr', 'proposed illustrated', 'various', 'method partitions', 'introduced', 'introduced concept', 'lrb', 'lrb 1999', 'mash', 'mash 29', 'method partitioning', 'minterms', 'proposed', 'minterms introduced', 'partial', 'partial functions', 'partitioning', 'partitioning minterms', 'partitions', 'partitions ii', '1999']",0.04819277108433735,1.0,0.09195402298850576,4,83,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.25,0.10526315789473685,0.2950682279574616,0.04819277108433735
"['building management systems', 'questionnaire survey', 'user perceptions', 'ease of use', 'compatibility', 'voluntariness']","['use', 'user', 'systems', 'acceptance', 'ease use', 'ease', 'building', 'perceived', 'perceived ease', 'perceptions', 'research', 'management systems', 'compatibility', 'management', 'user acceptance', 'acceptance building', 'user perceptions', 'building management', 'lrb bms', 'influence', 'generally important', 'importance', 'importance perceived', 'important', 'important balance', 'indicated', 'indicated differing', 'balance', 'lrb', 'making use', 'generally', 'acceptance employed', 'making', 'influence user', 'levels', 'levels importance', 'building performance', 'factors', 'factors perceived', 'facilities established', 'compatibility demonstrated', 'compatibility moderated', 'crucial', 'crucial optimising', 'demonstrated', 'bms rrb', 'demonstrated previous', 'differing', 'differing levels', 'employed', 'employed research', 'bms', 'established models', 'examines', 'balance compatibility', 'examines user', 'facilities', 'established', 'widely reported', 'modelling', 'modelling user', 'shown', 'shown generally', 'study', 'study examines', 'survey', 'survey systems', 'systems crucial', 'systems facilities', 'systems lrb', 'systems study', 'technology', 'technology acceptance', 'use compatibility', 'use relative', 'use shown', 'use systems', 'users', 'users making', 'using', 'using questionnaire', 'voluntariness', 'rrb using', 'rrb', 'research positive', 'performance widely', 'models', 'models technology', 'widely', 'moderated user', 'optimising', 'optimising building', 'perceptions ease', 'perceptions voluntariness', 'performance', 'positive', 'research indicated', 'positive influence', 'previous', 'previous research', 'questionnaire', 'questionnaire survey', 'relative', 'relative factors', 'reported', 'reported users', 'moderated']",0.037383177570093455,0.6666666666666666,0.07079646017699114,6,107,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.16666666666666666,0.09523809523809522,0.35598543749656475,0.0678467200802792
"['optimal control problems', 'distributed systems', 'elliptic equations', 'conjugate conditions', 'quadratic minimized function', 'computational discretization schemes']","['control', 'elliptic', 'computational', 'optimal', 'optimal control', 'conditions', 'schemes', 'described', 'delta coincides', 'delta', 'considered distributed', 'described elliptic', 'controls', 'control set', 'control problems', 'discretization', 'discretization schemes', 'control elliptic', 'distributed', 'constructed case', 'constructed', 'conjugation', 'considered', 'conjugation conditions', 'element', 'conjugate conditions', 'conjugate', 'conditions quadratic', 'conditions new', 'computational finite', 'computational discretization', 'coincides hilbert', 'coincides', 'case feasible', 'case', 'accurate computational', 'distributed systems', 'systems described', 'element schemes', 'minimized function', 'sub delta', 'sub', 'space controls', 'space', 'set sub', 'set', 'schemes optimal', 'schemes constructed', 'quadratic minimized', 'quadratic', 'problems considered', 'problems', 'new optimal', 'new', 'minimized', 'systems', 'hilbert space', 'hilbert', 'highly accurate', 'highly', 'function highly', 'function', 'finite element', 'finite', 'feasible control', 'feasible', 'equations conjugate', 'equations', 'elliptic equations', 'elliptic conjugation', 'accurate']",0.04225352112676056,0.5,0.07792207792207793,6,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3276598147861047,0.061667301103920824
"['systemological analysis', 'formal system representation', 'axiomatics']","['object', 'method', 'oriented', 'object oriented', 'systems', 'analysis', 'systemological', 'used', 'design', 'development', 'formal', 'design ii', 'flow', 'flow type', 'design complex', 'coordinated procedure', 'development object', 'formal representation', 'considered', 'formalized', 'formalized nfo', 'function', 'function object', 'functional', 'functional flow', 'hierarchy', 'hierarchy proposed', 'ii', 'coordinated', 'complex', 'complex systems', 'khgpu', '15 18', '18', '18 lrb', '2000', '2000 rrb', '81', '81 15', 'algorithm', 'algorithm case', 'analysis algorithm', 'analysis coordinated', 'axiomatics', 'axiomatics calculus', 'based', 'based node', 'calculus', 'calculus systems', 'case', 'case tools', 'class', 'class hierarchy', 'ii pt', 'vestn khgpu', 'khgpu 81', 'lrb', 'pt vestn', 'representation', 'representation axiomatics', 'results', 'results development', 'rrb', 'rrb paper', 'support', 'support considered', 'systemological analysis', 'systemological method', 'systems formal', 'systems functional', 'tools', 'tools used', 'type', 'type objects', 'ufo', 'ufo analysis', 'used design', 'used support', 'pt', 'proposed formalized', 'proposed', 'node function', 'lrb 2000', 'vestn', 'method systemological', 'method used', 'new', 'new method', 'nfo', 'nfo ufo', 'node', 'object class', 'procedure object', 'objects', 'objects based', 'oriented design', 'oriented systemological', 'paper', 'paper presents', 'presents', 'presents results', 'procedure', '15']",0.019417475728155338,0.6666666666666666,0.03773584905660377,3,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24095852865275813,0.02256036843415484
"['electronic tendering', 'electronic government procurement system', 'internal procurement processes', 'vendor registration', 'certificate authorization', 'contract development tools', 'online bidding', 'online payment']","['procurement', 'government', 'government procurement', 'electronic', 'online', 'rrb', 'development', 'electronic government', 'taiwan', 'lrb', 'information infrastructures', 'forward tender', 'employ', 'employ electronic', 'existing', 'existing information', 'explored', 'explored include', 'features', 'features explored', 'forward', 'internet', 'internal procurement', 'internal', 'information', 'framework', 'framework electronic', 'functions', 'integrated easily', 'functions reengineers', 'integrated', 'government bodies', 'include', 'infrastructures', 'include posting', 'electronic tendering', 'vendors features', 'electronic devices', 'investigation', 'accordingly taiwan', 'accountable', 'accountable electronic', 'authorization', 'authorization contract', 'benefits', 'benefits government', 'bid', 'bid request', 'bidding', 'bidding online', 'bids', 'bids internet', 'bodies', 'bodies vendors', 'certificate', 'certificate authorization', 'contract', 'contract development', 'demonstrates', 'demonstrates electronic', 'development online', 'development tools', 'devices', 'devices forward', 'easily', 'easily existing', 'efficient', 'efficient transparent', 'internet vendor', 'law lrb', 'investigation demonstrates', 'law', 'render government', 'request', 'request proposal', 'required', 'required accordingly', 'rfp', 'rfp rrb', 'rrb development', 'rrb states', 'states', 'states suppliers', 'suppliers', 'suppliers employ', 'taiwan government', 'taiwan render', 'tender', 'tender investigation', 'tendering', 'tendering government', 'tgpl', 'tgpl rrb', 'tools', 'tools bid', 'transparent', 'transparent nondiscriminating', 'turn', 'turn benefits', 'vendor', 'vendor registration', 'render', 'registration certificate', 'registration', 'posting', 'vendors', 'learned', 'learned taiwan', 'lesson', 'lesson learned', 'lrb rfp', 'lrb tgpl', 'nondiscriminating', 'nondiscriminating accountable', 'online bidding', 'online payment', 'payment', 'payment integrated', 'posting receiving', 'reengineers internal', 'processes', 'processes turn', 'procurement efficient', 'procurement functions', 'procurement law', 'procurement lesson', 'procurement processes', 'procurement required', 'proposal', 'proposal lrb', 'receiving', 'receiving bids', 'reengineers', 'accordingly']",0.03731343283582089,0.625,0.0704225352112676,8,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32451736324969466,0.04521870574136616
